series	series_original	compartment
Denmark_ARH230066 CB156 Platichthys flesus MU Not_applicable	Denmark_ARH230066 CB156 Platichthys flesus MU Not_applicable	biota
Denmark_ARH230066 CB156 Zoarces viviparus LI Not_applicable	Denmark_ARH230066 CB156 Zoarces viviparus LI Not_applicable	biota
Denmark_NORF-MarYderFjord CB156 Platichthys flesus MU Not_applicable	Denmark_NORF-MarYderFjord CB156 Platichthys flesus MU Not_applicable	biota
Denmark_NORF-MarYderFjord CB156 Zoarces viviparus MU Not_applicable	Denmark_NORF-MarYderFjord CB156 Zoarces viviparus MU Not_applicable	biota
Denmark_NORF-AalborgBugt CB156 Pleuronectes platessa MU Not_applicable	Denmark_NORF-AalborgBugt CB156 Pleuronectes platessa MU Not_applicable	biota
Denmark_NORF-Aggersund CB156 Zoarces viviparus MU Not_applicable	Denmark_NORF-Aggersund CB156 Zoarces viviparus MU Not_applicable	biota
Denmark_NORF-Halkaer CB156 Platichthys flesus MU Not_applicable	Denmark_NORF-Halkaer CB156 Platichthys flesus MU Not_applicable	biota
Denmark_NORF-Skagerrak CB156 Pleuronectes platessa MU Not_applicable	Denmark_NORF-Skagerrak CB156 Pleuronectes platessa MU Not_applicable	biota
Denmark_NORF-Stensnaes CB156 Platichthys flesus MU Not_applicable	Denmark_NORF-Stensnaes CB156 Platichthys flesus MU Not_applicable	biota
Denmark_Anholt CB156 Platichthys flesus MU Not_applicable	Denmark_Anholt CB156 Platichthys flesus MU Not_applicable	biota
Denmark_LIM-3708-1 CB156 Mytilus edulis SB Not_applicable	Denmark_LIM-3708-1 CB156 Mytilus edulis SB Not_applicable	biota
Denmark_LIM-3728-2 CB156 Mytilus edulis SB Not_applicable	Denmark_LIM-3728-2 CB156 Mytilus edulis SB Not_applicable	biota
Denmark_NORM-DokkedalM CB156 Mytilus edulis SB Not_applicable	Denmark_NORM-DokkedalM CB156 Mytilus edulis SB Not_applicable	biota
Denmark_ARH230066 CB156 Zoarces viviparus MU Not_applicable	Denmark_ARH230066 CB156 Zoarces viviparus MU Not_applicable	biota
Sweden_Tjärnö CB156 Haematopus ostralegus EH Not_applicable	Sweden_Tjärnö CB156 Haematopus ostralegus EH Not_applicable	biota
Sweden_Tjärnö CB156 Sterna hirundo EH Not_applicable	Sweden_Tjärnö CB156 Sterna hirundo EH Not_applicable	biota
Denmark_LIM-3718-2 CB156 Mytilus edulis SB Not_applicable	Denmark_LIM-3718-2 CB156 Mytilus edulis SB Not_applicable	biota
Sweden_Kullen Bio CB156 Clupea harengus MU Not_applicable	Sweden_Kullen Bio CB156 Clupea harengus MU Not_applicable	biota
Sweden_E~W FLADEN CB156 Clupea harengus MU Not_applicable	Sweden_E/W FLADEN CB156 Clupea harengus MU Not_applicable	biota
Sweden_Väderöarna CB156 Clupea harengus MU Not_applicable	Sweden_Väderöarna CB156 Clupea harengus MU Not_applicable	biota
Denmark_RKB-RFMS1 CB156 Platichthys flesus MU Not_applicable	Denmark_RKB-RFMS1 CB156 Platichthys flesus MU Not_applicable	biota
Denmark_RKB-NF22 CB156 Platichthys flesus MU Not_applicable	Denmark_RKB-NF22 CB156 Platichthys flesus MU Not_applicable	biota
Denmark_RKB-NF23 CB156 Platichthys flesus MU Not_applicable	Denmark_RKB-NF23 CB156 Platichthys flesus MU Not_applicable	biota
Denmark_RKB-VE43 CB156 Limanda limanda MU Not_applicable	Denmark_RKB-VE43 CB156 Limanda limanda MU Not_applicable	biota
Denmark_RKB-VE43 CB156 Pleuronectes platessa MU Not_applicable	Denmark_RKB-VE43 CB156 Pleuronectes platessa MU Not_applicable	biota
Denmark_RKB-NF24 CB156 Platichthys flesus MU Not_applicable	Denmark_RKB-NF24 CB156 Platichthys flesus MU Not_applicable	biota
Denmark_NORF-Thybor-Agger CB156 Pleuronectes platessa MU Not_applicable	Denmark_NORF-Thybor-Agger CB156 Pleuronectes platessa MU Not_applicable	biota
Denmark_MFSVK1 CB156 Pleuronectes platessa MU Not_applicable	Denmark_MFSVK1 CB156 Pleuronectes platessa MU Not_applicable	biota
Germany_NBOF3 CB156 Zoarces viviparus MU Not_applicable	Germany_NBOF3 CB156 Zoarces viviparus MU Not_applicable	biota
Germany_NBOF8 CB156 Larus argentatus EH Not_applicable	Germany_NBOF8 CB156 Larus argentatus EH Not_applicable	biota
Germany_NBOF8 CB156 Zoarces viviparus MU Not_applicable	Germany_NBOF8 CB156 Zoarces viviparus MU Not_applicable	biota
Germany_Balt_F_1 CB156 Platichthys flesus MU Not_applicable	Germany_Balt_F_1 CB156 Platichthys flesus MU Not_applicable	biota
Germany_Jade_F_1 CB156 Platichthys flesus MU Not_applicable	Germany_Jade_F_1 CB156 Platichthys flesus MU Not_applicable	biota
Denmark_DMU R1035 CB156 Pleuronectes platessa MU Not_applicable	Denmark_DMU R1035 CB156 Pleuronectes platessa MU Not_applicable	biota
Denmark_RKB RFMS2 CB156 Platichthys flesus MU Not_applicable	Denmark_RKB RFMS2 CB156 Platichthys flesus MU Not_applicable	biota
